id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
73841,Amazing Downtown Vancouver Condo!,386761,Ying Ying,,Downtown,49.27591,-123.12359,Entire home/apt,121,90,29,2025-04-20,0.17,2,354,2,
77157,Room with a Garden View!,412802,Anne,,Arbutus Ridge,49.2452,-123.16544,Entire home/apt,158,2,854,2025-07-26,4.87,2,207,48,Municipal registration number: 24-157483<br />Provincial registration number: H943906637
98830,Your Downtown Executive Suite,520997,Cristina,,Downtown,49.27936,-123.12443,Entire home/apt,189,90,276,2025-08-01,1.59,1,97,3,Municipal registration number: 18-550967
134688,"West view, Transit convenient, clean & comfortable",653436,Pirike,,Renfrew-Collingwood,49.24356,-123.04757,Private room,,90,48,2024-12-01,0.28,5,269,2,
140698,"1905 Heritage House Loft, Mt. Pleasant, Olympic",69640,Stephen,,Mount Pleasant,49.26263,-123.10444,Private room,149,5,201,2025-08-05,1.17,1,292,24,Provincial registration number: H664070490
248014,"Vancouver stunning views, comfort and location",1299977,Gabriella,,Grandview-Woodland,49.29103,-123.05782,Entire home/apt,100,90,1,2014-09-04,0.01,1,313,0,
254657,Loft at Maple Tree Square,241920,Scott,,Downtown Eastside,49.2831284,-123.1033466,Entire home/apt,316,2,115,2025-07-31,0.79,1,111,13,Municipal registration number: 22-156187<br />Provincial registration number: H256429824
256178,Luxury Coach House in Kitsilano,1267409,Julia,,Kitsilano,49.26293,-123.17143,Entire home/apt,298,90,24,2023-05-30,0.15,2,221,0,Municipal registration number: 25-132758 We only accept long term rentals (90+ nights)
311354,Close to downtown/shops/restaurants/skytrain,58512,Q,,Grandview-Woodland,49.26328,-123.07086,Entire home/apt,,365,6,2019-12-21,0.06,5,90,0,Municipal registration number: 18-475635
322824,Modern Yaletown 1BR | GREAT VIEW + CENTRAL,1652613,Blake,,Downtown,49.27608,-123.12452,Entire home/apt,175,90,157,2025-04-30,0.97,2,124,1,
359942,Stylish Modern Central Downtown★★★★★★★,1200456,Nala,,Downtown,49.27634,-123.11825,Private room,259,90,46,2022-09-11,0.28,8,364,0,Municipal registration number: 18607863 AM
415700,"LARGE PRIVATE ROOM+BATH, KING BED, dedicated entry",83871,Nian Hong,,Renfrew-Collingwood,49.2332,-123.0551,Private room,,90,265,2024-10-16,1.63,4,87,1,Municipal registration number: 25-156162
436032,Trendy & Spacious 2 bd Gastown Loft,2165986,Kenphing,,Downtown Eastside,49.28211,-123.10453,Entire home/apt,292,3,204,2025-08-03,1.27,1,259,31,Municipal registration number: 25-156008<br />Provincial registration number: H405855487
461370,Lovely large room w/ private bath,1200456,Nala,,Killarney,49.22812,-123.03063,Private room,,2,56,2024-08-24,0.35,8,356,2,Municipal registration number: Exempt<br />Provincial registration number: H915937358
461386,Beautiful room (s) Vancouver Home,1200456,Nala,,Killarney,49.23012285582883,-123.02987849258147,Private room,179,2,51,2025-07-18,0.32,8,347,5,Municipal registration number: 25-156997<br />Provincial registration number: H915937358
464172,"Real bright home with high ceiling, in great area.",2189535,Martine,,Hastings-Sunrise,49.284812927246094,-123.05479431152344,Entire home/apt,285,2,42,2025-08-02,0.29,1,14,12,Municipal registration number: 25-156624<br />Provincial registration number: H473963466
475296,Vancouver (Gastown) penthouse loft with two decks.,2356016,Jocelyn,,Downtown Eastside,49.2828753,-123.1056654,Entire home/apt,500,3,249,2025-07-19,1.70,1,333,15,Municipal registration number: 24-157565<br />Provincial registration number: H925336634
496298,"Downtown 1Bed+Den, stylish & modern",2451689,Marlin,,Downtown,49.28062,-123.11815,Entire home/apt,119,90,170,2025-06-01,1.06,1,254,3,
498112,Central Modern House with View and 2 Kitchens,2459577,Allison,,Kensington-Cedar Cottage,49.25099,-123.07457,Entire home/apt,550,4,46,2025-08-03,0.29,2,46,5,Municipal registration number: 25-156205<br />Provincial registration number: H807186688
507767,One Bedroom with Hotel Amenities at Level Seymour,2502595,Alessandro,,Downtown,49.278350830078125,-123.1224136352539,Entire home/apt,260,30,7,2025-07-01,0.05,43,217,2,Municipal registration number: 25 -117786<br />Provincial registration number: Exempt
540348,Modern Architectural lakeside Home On The Park,2655554,Kristen,,Kensington-Cedar Cottage,49.25759,-123.06393,Entire home/apt,532,1,127,2025-07-17,0.87,1,324,17,Municipal registration number: 25-156249<br />Provincial registration number: H755872029
557357,Commercial Dr West Coast Garden Ste,525761,Diane,,Grandview-Woodland,49.27917,-123.06246,Entire home/apt,80,90,193,2022-10-31,1.21,1,1,0,Municipal registration number: 19-114782
622217,3 bedroom SubPenthouse central downtown Vancouver,3084195,Arash,,Downtown,49.27999,-123.1075,Entire home/apt,1014,2,70,2024-12-16,0.48,2,358,2,Municipal registration number: 25-156087<br />Provincial registration number: H351607553
625396,Close to Jericho beach garden level open space.,3102862,Michel,,Kitsilano,49.270655316242745,-123.18291314738147,Entire home/apt,380,2,235,2025-08-09,1.48,1,95,30,Municipal registration number: 25-157015<br />Provincial registration number: H293196010
654744,English Bay Hideaway Photo Tour,2796859,James,,West End,49.29178,-123.14175,Entire home/apt,148,90,77,2025-01-30,0.52,1,281,1,Municipal registration number: 19-104667
654763,1 Bedroom Private Furnished Suite,2459577,Allison,,Kensington-Cedar Cottage,49.2506,-123.07175,Entire home/apt,55,90,22,2023-05-14,0.15,2,190,0,
659986,Nice room in amazing luxury home near DOWNTOWN+UBC,84820,Chris,,South Cambie,49.24413,-123.11955,Private room,,90,27,2018-05-06,0.17,1,0,0,Municipal registration number: 86-13134
703179,Entire cute condo full of art for 2,3246254,Izabela,,Downtown,49.27945,-123.10875,Entire home/apt,117,90,185,2025-07-04,1.20,1,114,2,Municipal registration number: 25-156209<br />Provincial registration number: H562696019
713271,Luxury Seaview suite - Vancouver Westend,3671073,Susan,,West End,49.28104,-123.13621,Entire home/apt,135,91,99,2024-09-01,0.67,1,111,1,
731219,Kitsilano Laneway House - Quiet Neighbourhood,3804851,Frances Alison,,Kitsilano,49.26026,-123.18195,Entire home/apt,153,90,14,2025-05-31,0.10,1,93,1,
755558,Kitsilano 2 bdrm Garden Level Suite,3976484,Lori,,Kitsilano,49.25996,-123.16653,Entire home/apt,,90,78,2021-01-23,0.53,1,0,0,Municipal registration number: 21-157483
771366,Level Seymour Bright Studio with Upscale Amenities,2502595,Alessandro,,Downtown,49.278350830078125,-123.1224136352539,Entire home/apt,240,30,13,2025-03-27,0.09,43,198,3,Municipal registration number: 25 -117786<br />Provincial registration number: Exempt
771380,Level Seymour Downtown Two Bedroom with Pool,2502595,Alessandro,,Downtown,49.278350830078125,-123.1224136352539,Entire home/apt,385,30,14,2025-07-27,0.09,43,236,3,Municipal registration number: 25 -117786<br />Provincial registration number: Exempt
785297,The Nook in Kitsilano,3211112,Rasha,,Kitsilano,49.26355,-123.17326,Private room,150,7,94,2025-05-06,0.61,2,318,6,Municipal registration number: 25-155990<br />Provincial registration number: H536634185
801222,fully furnished suite near VGH,4217281,Jennifer Andrea,,Fairview,49.25804,-123.12119,Entire home/apt,84,90,26,2025-05-02,0.17,3,157,1,
875309,Heritage Home near Kits Beach,4621004,Judy,,Kitsilano,49.27073,-123.16325,Entire home/apt,375,5,37,2025-07-29,0.24,1,14,2,Municipal registration number: 25156143<br />Provincial registration number: H386784732
880390,"Large, Lovely Room in Gorgeous House with Gardens",4655969,Lesley,,Kensington-Cedar Cottage,49.25473297396569,-123.0858019825957,Private room,137,2,6,2025-08-04,0.45,1,323,5,Municipal registration number: H179159821<br />Provincial registration number: H179159821
885600,"Dunbar near UBC: Clean, comfortable + quiet",4693732,David & Patti,,Dunbar Southlands,49.24803,-123.18517,Entire home/apt,150,3,323,2025-08-04,2.13,1,292,30,Municipal registration number: 25-155948<br />Provincial registration number: H382617604
958090,Private apartment-Yaletown Downtown,1200456,Nala,,Downtown,49.27744,-123.11524,Entire home/apt,,90,10,2013-09-30,0.07,8,365,0,
1032892,Artist Character Home : private space,2378744,Lori,,Grandview-Woodland,49.27241,-123.06332,Private room,124,1,205,2025-08-06,1.38,1,314,52,Municipal registration number: 25-156014<br />Provincial registration number: H651684198
1113551,Sunny Family Home in Heart of Kits,5231060,Liz,,Kitsilano,49.26110076904297,-123.1595458984375,Entire home/apt,1280,5,53,2025-06-30,0.36,1,25,3,Municipal registration number: 25-156189<br />Provincial registration number: H467596585
1118858,*Best choice in downtown-5 Stars * -3,70137,Kai,,West End,49.28239,-123.13021,Private room,,90,61,2022-12-30,0.41,4,328,0,Municipal registration number: 18-573700
1141457,2 Bdrm in Strathcona,6067405,Paige And Grant,,Downtown Eastside,49.27925,-123.08814,Entire home/apt,129,3,388,2025-06-26,2.60,1,181,31,Municipal registration number: 25-156221<br />Provincial registration number: H927553725
1178149,Cozy & Quiet Space in the Heart of East Vancouver,6165412,Sylvia Mira,,Hastings-Sunrise,49.26957,-123.04828,Entire home/apt,161,3,96,2025-07-12,1.11,1,141,9,Municipal registration number: 25-156023<br />Provincial registration number: H173869882
1187929,Elegant Main floor House Vancouver,6495937,Janet,,Kensington-Cedar Cottage,49.24965,-123.07027,Entire home/apt,199,5,130,2024-09-02,0.89,2,93,5,Municipal registration number: 25-157047<br />Provincial registration number: H024727755
1191143,Beautiful Kitsilano Character home. Great Location,598979,Mary,,Kitsilano,49.26716,-123.17653,Entire home/apt,360,6,17,2025-06-23,0.12,2,22,1,Municipal registration number: 25-156862<br />Provincial registration number: H495095969
1214617,Licensed Cool and Cozy On The Drive w central A/C!,6630357,Divina And Viv,,Grandview-Woodland,49.26731,-123.06909,Entire home/apt,256,3,273,2025-08-05,1.86,1,253,18,Municipal registration number: 25-156050<br />Provincial registration number: H482524938
1229506,Brand new 3 bedroom home in central Vancouver,1742728,Karen,,Grandview-Woodland,49.26614,-123.06854,Entire home/apt,417,90,19,2025-08-06,0.13,1,142,4,Municipal registration number: 25-156921<br />Provincial registration number: H970989551
1229714,Luxury apartment Downtown Vancouver,1200456,Nala,,Downtown,49.28361,-123.11536,Entire home/apt,316,90,3,2019-06-23,0.04,8,365,0,Municipal registration number: 18 607866 AM
1273760,Stylish Hotel Room in Downtown Vancouver,6033,Cam,,Downtown,49.28478,-123.1192,Private room,365,1,693,2025-07-24,4.71,1,298,67,Provincial registration number: Exempt
1301620,Suite Life on Kitchener Street,7077434,Christopher James,,Grandview-Woodland,49.272483825683594,-123.06643676757812,Entire home/apt,150,1,225,2025-08-01,1.54,1,46,23,Municipal registration number: 25-158091<br />Provincial registration number: H855105042
1343519,*Best choice in downtown-5 Stars* -1,70137,Kai,,West End,49.28247,-123.13068,Private room,75,90,73,2025-05-30,0.53,4,365,2,Municipal registration number: 18-573700
1365609,Bright & Charming 1-Bdr in Downtown Core,7336501,Maha,,West End,49.278602600097656,-123.1299057006836,Entire home/apt,308,3,220,2025-07-21,1.50,1,107,20,Municipal registration number: 25-155924<br />Provincial registration number: H163862462
1375143,100 Year Old Character Home off Main.,1334665,Gaëlle And James,,Riley Park,49.24871,-123.09646,Entire home/apt,169,3,8,2025-07-13,0.09,1,8,5,Municipal registration number: 25-168476<br />Provincial registration number: H128287651
1445664,Charming 2-Brm in East Van,10025,Nancy Minh Van,,Hastings-Sunrise,49.27637,-123.05049,Entire home/apt,244,3,1,2025-07-22,1,1,347,1,Municipal registration number: 25-241135<br />Provincial registration number: H239556278
1507975,Modern new room with private entry!,51695,Natasha & Paolo,,Riley Park,49.24863,-123.09127,Private room,82,4,420,2025-07-24,2.88,1,58,46,Municipal registration number: 25-156108<br />Provincial registration number: H841651468
1604919,Executive Comfort only 1 Block from Robson Street,8550324,John,,West End,49.28707,-123.12697,Entire home/apt,200,90,125,2025-07-01,1.05,1,315,1,Municipal registration number: 20-159526
1623556,Private top floor on vibrant Main St,8633501,Robin,,Riley Park,49.252771775429096,-123.09304249989587,Entire home/apt,108,4,385,2025-07-25,2.65,1,215,23,Municipal registration number: 25-156106<br />Provincial registration number: H506324137
1657214,2000sqft 3 level Downtown loft 3 patios + Parking,8784861,Michael Ambrose,,Downtown Eastside,49.28167,-123.10984,Entire home/apt,250,90,8,2025-07-11,0.06,1,363,1,
1692124,SkyView Woodwards。5 min walk to the skytrain,61804583,Keith,,Downtown Eastside,49.28303,-123.10791,Entire home/apt,273,1,24,2025-08-05,2.91,5,58,24,Municipal registration number: 24-295386<br />Provincial registration number: H989336684
1703616,Beautiful Kitsilano Apartment (pet friendly),8993938,James Peter,,Kitsilano,49.26548,-123.14579,Entire home/apt,200,90,5,2025-01-11,0.13,1,292,1,
1717967,2 Bedroom Garden Flat - Main Street,9057463,Alexandra Mary,,Riley Park,49.24778,-123.09867,Entire home/apt,250,2,404,2025-07-26,2.84,1,194,22,Municipal registration number: 25-156053<br />Provincial registration number: H902399997
1733307,DT Ocean view with luxury amenities and parking,9131888,Cindy,,Downtown,49.27781,-123.10637,Entire home/apt,305,1,211,2025-07-26,4.41,1,20,43,Municipal registration number: 25-158175<br />Provincial registration number: H163889927
1830733,Cozy Retreat - Strathcona,9575419,Elana,,Downtown Eastside,49.27866,-123.08627,Entire home/apt,180,2,284,2025-05-16,1.99,5,126,7,Municipal registration number: 25-156175<br />Provincial registration number: H170727854
1850984,Main Street loft w/ rooftop terrace and view!,1007186,Bryn,,Strathcona,49.26772,-123.0975,Entire home/apt,302,3,54,2025-07-01,0.38,1,15,8,Municipal registration number: 20-197406<br />Provincial registration number: H123669590
1932171,Commercial Drive Garden Suite,5026894,Lois,,Grandview-Woodland,49.26861,-123.06666,Entire home/apt,,90,11,2018-08-28,0.10,1,0,0,
1995592,"Charming ""Kitsilano Family Place""",10285482,Allan And Ellen,,Kitsilano,49.263252,-123.164825,Private room,136,2,389,2025-08-05,2.74,1,212,30,Municipal registration number: 25-155952<br />Provincial registration number: H641021663
2011559,Sunny family-friendly house in Kits,9372276,Rica,,Kitsilano,49.26057,-123.15881,Entire home/apt,903,5,47,2025-07-27,0.42,1,76,4,Municipal registration number: 25-156524<br />Provincial registration number: H592259121
2033952,Beautiful Kitsilano - Covid-19 Safe,557301,Tyler,,Kitsilano,49.26715,-123.15325,Entire home/apt,,90,6,2020-09-09,0.09,1,0,0,Municipal registration number: 20162988
2041582,"Kitsilano Point, very clean, welcoming and bright",1728615,Francois,,Kitsilano,49.2753,-123.14721,Entire home/apt,500,90,258,2024-03-06,1.89,1,365,0,Municipal registration number: 20-160763
2042431,Yaletown 1BD Condo @ Homer & Robson,9582918,Sandy,,Downtown,49.28005,-123.11659,Entire home/apt,118,90,141,2024-10-15,1.00,2,345,1,
2056676,Cozy Modern apartment in Yaletown,7338933,Sadiq,,Downtown,49.27118,-123.12591,Entire home/apt,110,90,95,2023-09-30,0.67,2,349,0,"Municipal registration number: #18-609683 for unit 2610 , #18-609676 for unit 1503"
2092610,A Spacious Work-Live Studio,1172047,Trevor,,Mount Pleasant,49.2655,-123.0969,Entire home/apt,111,90,49,2024-11-04,0.35,2,270,2,Provincial registration number: Exempt
2163742,Garden Patio condo near Downtown transit central,5656886,Brandi,,Kensington-Cedar Cottage,49.26173136782594,-123.0742811232398,Private room,100,2,164,2025-08-02,1.19,1,222,22,Municipal registration number: 24-158308<br />Provincial registration number: H597981765
2183209,Kitsilano PENTHOUSE,11132986,Daniel,,Kitsilano,49.26597,-123.15633,Entire home/apt,250,91,138,2025-04-29,1.01,1,334,1,Municipal registration number: 19-162396
2198419,Gorgeous home in Yaletown,11214436,Kate,,Downtown,49.2773,-123.12294,Entire home/apt,140,180,142,2016-09-01,1.03,1,358,0,
2216062,Bright Kitsilano Garden Apartment,11304608,Julie,,West Point Grey,49.269674620146866,-123.18589752736567,Entire home/apt,120,28,77,2025-07-01,0.57,1,158,6,Municipal registration number: 25-156018<br />Provincial registration number: H985780629
2315217,Modern Furnished private 1 Bed+Den,1200456,Nala,,Killarney,49.230171117698546,-123.03200097355086,Entire home/apt,,90,0,,,8,0,0,Municipal registration number: 25-156997
2365994,Gem Modern Apartment in Yaletown,12014048,Hayfa,,West End,49.28298,-123.12339,Entire home/apt,150,90,95,2019-10-26,0.68,1,313,0,Municipal registration number: 18-609155
2454353,Vancouver Quality Coach House,10997524,Mark Patrick,,Kensington-Cedar Cottage,49.23748,-123.08735,Entire home/apt,149,90,228,2025-06-22,1.65,1,248,29,Municipal registration number: 23-151638
2468591,Marinaside water View - 90 nights,8999638,Sweet Home,,Downtown,49.27343301745229,-123.11737585067749,Entire home/apt,165,90,11,2023-08-11,0.09,1,324,0,Municipal registration number: 19189051
2472791,Kits beach garden apartment. PETS+Children Welcome,2385551,Livio,,Kitsilano,49.27117078425855,-123.15370976118434,Entire home/apt,340,5,28,2025-07-29,0.21,1,211,5,Municipal registration number: 25-157006<br />Provincial registration number: H417533313
2493042,False creek penthouse with view,11852508,Sam,,Fairview,49.26254,-123.13054,Entire home/apt,,90,1,2023-02-04,0.03,1,0,0,
2532975,Beautiful Oasis in prime Vancouver  (2 bed/patio),988889,Mireille,,Hastings-Sunrise,49.28586959838867,-123.05322265625,Entire home/apt,197,4,55,2025-07-24,0.40,1,217,7,Municipal registration number: Licence 23-258966<br />Provincial registration number: H558228563
2576878,"Bright 1 bed suite, great location",4217281,Jennifer Andrea,,Fairview,49.25865,-123.12294,Entire home/apt,80,90,8,2023-10-31,0.06,3,252,0,
2592307,Ann's Place,13270979,Ann,,South Cambie,49.25222,-123.1186,Entire home/apt,130,2,842,2025-08-06,6.14,1,189,76,Municipal registration number: 25-156054<br />Provincial registration number: H623413210
2653578,LOCATION!!! RENOVATED!!! SLEEPS 2-4!!,13584295,Breanna,,Downtown,49.28044,-123.12496,Entire home/apt,264,1,559,2025-08-06,5.96,1,3,87,Municipal registration number: 25-155982<br />Provincial registration number: H818513770
2669445,Laneway Home with a view,13664708,De,,West Point Grey,49.27109,-123.2088,Entire home/apt,142,90,16,2024-08-19,0.12,1,102,1,
2675179,Refined Modern Home in Kitsilano's Best Locale,11742636,Adrianne,,Kitsilano,49.27512,-123.15131,Entire home/apt,600,90,110,2025-04-25,0.81,1,40,3,Municipal registration number: 0
2709965,"Lakeside Manor, Room with a View!",13868691,Kat,,Kensington-Cedar Cottage,49.25572,-123.06554,Private room,78,1,122,2025-07-13,0.92,4,171,12,Municipal registration number: 25-170928<br />Provincial registration number: H043835109
2764812,Your Alternative to a 5 Star Hotel.,63434,Jan,,Downtown,49.27992,-123.12658,Entire home/apt,603,1,218,2025-07-25,1.59,1,30,22,Municipal registration number: 25-156571<br />Provincial registration number: H349100965
2836478,"Water Views Downtown, Vancouver, BC",5517192,Fahrah,,Downtown,49.27293,-123.12547,Entire home/apt,,90,3,2014-07-30,0.02,1,0,0,
2847310,Unique Loft in the Heart of Gastown,6576530,Jozi,,Downtown Eastside,49.28247,-123.10342,Entire home/apt,237,2,539,2025-08-03,3.93,1,253,52,Municipal registration number: 25-156020<br />Provincial registration number: H683957257
2944104,Luxury Modern Apartment at Yaletown,7338933,Sadiq,,Downtown,49.279008265460455,-123.11849417484096,Entire home/apt,100,90,103,2025-06-01,0.76,2,361,1,
2958786,Funky Downtown Room in the West End,2796877,Sarah,,West End,49.29314,-123.13535,Private room,113,2,497,2025-08-03,3.63,1,95,62,Municipal registration number: 25-156855<br />Provincial registration number: H195622688
2969182,Large character home steps to Commercial Drive,13928045,Laura,,Grandview-Woodland,49.272098541259766,-123.06197357177734,Entire home/apt,338,2,5,2025-07-22,0.04,1,343,2,Municipal registration number: 25-214015<br />Provincial registration number: H973600337
2997414,Bright and Modern 2BR in the heart of Vancouver!,6764900,Matt,,Downtown Eastside,49.2772,-123.09903,Entire home/apt,,90,8,2023-03-01,0.06,1,0,0,
3093219,Minutes to Jericho Beach & Downtown Vancouver,15731413,Heather,,Kitsilano,49.2669,-123.18107,Entire home/apt,650,3,24,2024-12-09,0.18,1,5,4,Municipal registration number: 20-162050<br />Provincial registration number: H652425095
3130486,Beautiful Mount Pleasant Loft,15897416,Matthew,,Mount Pleasant,49.26731,-123.09774,Entire home/apt,,3,150,2025-07-27,1.12,1,1,21,Municipal registration number: 25-156185<br />Provincial registration number: H699822926
3142563,"Spacious suite in Kits, AC/total privacy/quiet/UBC",10216651,Yi,,Kitsilano,49.26366,-123.18138,Entire home/apt,174,1,358,2025-08-03,7.73,1,122,84,Municipal registration number: 25-156584<br />Provincial registration number: H505129678
3165779,Waterfront apartment w/ great view,8758780,Hánxǐao,,Downtown,49.27349,-123.11295,Entire home/apt,200,200,0,,,1,365,0,
3168686,Beautiful Loft Downtown | 2-Levels w/Balcony,1522256,Natalia,,Downtown,49.28454,-123.1058,Entire home/apt,,1,76,2025-06-15,0.62,2,0,7,Municipal registration number: 25-156075<br />Provincial registration number: H575080355
3177610,"A Luxurious Downtown Urban Oasis with Parking, Awaits You.",8696545,S,,Downtown,49.27914,-123.12016,Entire home/apt,400,90,24,2022-09-21,0.18,1,364,0,
3183304,Stylish Minimalist Double Bedroom,4261957,Donna Min Chuen,,Renfrew-Collingwood,49.24348,-123.03844,Private room,65,28,59,2025-08-01,0.44,1,292,5,Municipal registration number: 23-156556<br />Provincial registration number: H990030613
3215295,Cozy modern suite near Main St (min stay 90 days),15434388,Florence,,Riley Park,49.2498,-123.10378,Entire home/apt,120,90,55,2024-09-29,0.40,1,330,1,Municipal registration number: 19245485
3241017,Modern Downtown Park View Condo!,834713,Cory,,Downtown,49.2782,-123.10575,Entire home/apt,293,3,180,2025-08-04,1.33,1,3,20,Municipal registration number: 25-156142<br />Provincial registration number: H617752073
3309313,Level Seymour Two Bed with Hotel-like Amenities,2502595,Alessandro,,Downtown,49.27899,-123.12156,Entire home/apt,385,30,7,2025-07-04,0.05,43,267,3,Municipal registration number: 25 -117786<br />Provincial registration number: Exempt
3340865,Private Unit•Cozy·Free parking/DT/UBC/YVR,16862283,Min Yan,,Dunbar Southlands,49.24730049999999,-123.1706703,Entire home/apt,179,2,106,2025-07-31,3.98,1,60,53,Municipal registration number: 25-157432<br />Provincial registration number: H340626112
3445182,Stunning Kits Townhouse - Sleeps 5,1259208,Lesley,,Fairview,49.26306,-123.14555,Entire home/apt,315,90,0,,,1,318,0,
3458717,"3 bedrooms, 3.5 bathrooms on 3 levels near beach",17432096,Jacek Olgierd,,Kitsilano,49.26867,-123.16656,Entire home/apt,472,1,168,2025-07-21,1.42,3,183,23,Municipal registration number: 25-156191<br />Provincial registration number: H086733258
3479638,EAST View- Steps to 29Ave SKYTRAIN Bright & Clean,653436,Pirike,,Renfrew-Collingwood,49.24559,-123.04974,Private room,44,90,32,2025-04-12,0.24,5,365,2,
3594666,* Beautiful + Trendy 2 Bedroom Central Vancouver *,1200456,Nala,,Downtown,49.27656,-123.11813,Entire home/apt,459,90,12,2018-10-12,0.09,8,364,0,Municipal registration number: 18 607863 AM
3621849,Waterfront  Home in the CITY!,14989962,Farzana,,Hastings-Sunrise,49.29169,-123.05097,Entire home/apt,923,1,347,2025-07-22,2.81,2,259,83,Municipal registration number: 25-156201<br />Provincial registration number: H108022706
3629071,Private Garden Suite on the Drive,13871489,Doug & Herb,,Grandview-Woodland,49.27198,-123.0681,Entire home/apt,150,1,817,2025-08-01,6.07,1,211,59,Municipal registration number: 25-155954<br />Provincial registration number: H642603725
3638973,Park View. Spacious Bright @ 29Ave Skytrain,653436,Pirike,,Renfrew-Collingwood,49.24389,-123.0485,Private room,65,90,25,2024-12-17,0.19,5,365,1,
3666752,Modern  Kits 3 storey townhouse,14172420,Forrest,,Kitsilano,49.26668,-123.15781,Entire home/apt,,2,93,2025-07-14,0.70,1,0,7,Municipal registration number: Licence number 20-161078<br />Provincial registration number: H359366165
3678989,Kriszta's Lovely Little Hideaway,6602654,Kriszta,,Grandview-Woodland,49.27166,-123.06616,Entire home/apt,170,2,431,2025-07-29,3.21,1,298,57,Municipal registration number: 25-156522<br />Provincial registration number: H785317103
3679016,Charming Cozy Condo Commercial Dr Licence#20159722,18696230,Deborah,,Grandview-Woodland,49.27412,-123.07405,Entire home/apt,,90,96,2019-12-23,0.82,1,0,0,Municipal registration number: 19-161202
3766620,Large apt. with great Patio in Kits,5187640,Max,,Kitsilano,49.26268,-123.14881,Entire home/apt,,90,32,2017-09-17,0.24,1,0,0,Municipal registration number: 18-623007
3803319,Family home in Mount Pleasant,12242749,Julianne,,Mount Pleasant,49.25725,-123.08369,Entire home/apt,,90,64,2021-07-04,0.48,1,0,0,Municipal registration number: 20-159534
